source page,source page title,field-0,field-2,field-3,text
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",shony,schedule3:51 PM Jan 2nd,schedule,feb abhi ane ke liye 2 month baki hai na kal intraday me fategi to bechare log kya karenge esiliye abhi becho down ane par kharido logo ko mat bana
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",shony,schedule3:48 PM Jan 2nd,schedule,tomorow open at 2450 level big volme gap down sell sell at high level bad news coming rill manipilation stock from jan2021 bad news com at midnight today so friends big sell till 2200
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",shony,schedule3:46 PM Jan 2nd,schedule,sell sell ril tomrow blood bath gap down opninhg on 2400rs went in overbout zone may be correcteion till 2200rs
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",investorindia1977,schedule3:17 PM Jan 2nd,schedule,"The windfall tax on petroleum crude oil has been increased ₹2,300 ($27.63) a ton from ₹1,300. The government notification further said that a tax on diesel of ₹0.5 per litre was eliminated. The tax on aviation fuel was also reduced by ₹1."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",dongre_shamu1968,schedule3:12 PM Jan 2nd,schedule,"No bad news...Very good news , JIO going to hit 255 soon ...Ril going to post ???? Robust results....3000 soon in Feb...Good luck.."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",Sagarblr,schedule3:04 PM Jan 2nd,schedule,One bad news is expected now in reliance industries
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",ani0008,schedule2:54 PM Jan 2nd,schedule,"Dear MMB team members, kindly check my profile, there is an technical issue as I am not able to open it properly and cant see my own posts. thanks."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",BangJackpot,schedule2:04 PM Jan 2nd,schedule,"Positive Vibes See in Reliance Industries, RattanIndia Power,  Innova Cabtab, SBFC Finance, Future Consumer."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule10:46 AM Jan 2nd,schedule,"India has hiked the windfall tax on crude oil while reducing the tax on diesel and aviation turbine fuel, according to a government notification. The government hiked the windfall tax on petroleum crude oil to 2,300 Indian rupees ($27.63) a ton from 1,300 rupees, it said. A tax on diesel of 0.5 rupee per litre was eliminated, it said as was a one rupee per litre windfall tax on aviation fuel."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule9:51 AM Jan 2nd,schedule,"Indian debt market flush with overseas funds, posts six-year high in December Net investments of foreign portfolio investors in the local debt market surged in December, the highest in 77 months. Overseas inflows into debt stood at Rs 18,393 crore in December against Rs 14,106 crore in November, according to National Securities Depository data. This comes ahead of the inclusion of Indian bonds in the JP Morgan index starting June 2024. Why it%u2019s important: A further surge is expected in early-stage capital inflows in the debt segment in the first quarter of 2024 as active foreign funds are frontloading and running ahead of the index inclusion."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule9:50 AM Jan 2nd,schedule,"Indian equities start the new year on a flat note amid high volatility Stock markets in India began the new year on a flat note with the Sensex closing with modest gains in a highly volatile trading session. The benchmark gauge scaled a new intraday record high of 72,561.91 points before closing at 72,271.94, a gain of 0.04 percent over the last close. The 50-share Nifty also reached a new intraday high before settling higher by 0.05 percent at 21,741.90. Key indices were volatile throughout the session as traders were indecisive in the absence of global cues. Why it%u2019s important: Volatility is only to be expected in what some analysts are calling an overvalued market. The underlying reasons for optimism haven%u2019t evaporated, but some positive cues are required for equities to advance further."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",vivek192,schedule9:30 AM Jan 2nd,schedule,Breaking bad news for reliance coming in. Windfall tax has been doubled from last time.
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",therealthirdeye2015,schedule7:08 PM Dec 31st,schedule,"reliance give 30% returns in a year. not bad and in the 2024 its target is rs 3100 plus but otherside also so many shares which can give equal and even more returns. so i divided all my ivestment in not less than 8 shares , i am still hold past holdings which added at 2250 and inthe past which added at 2439 and 2442 sold due to that my cost came down. now i choice few shares which already informed and out of which castrol which suggested to add 134 book full profits at 185 and dcb bank which suggested to add 113 book full proifts at 135. the rest keep hold."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",SUBBU_IYER,schedule1:46 PM Jan 1st,schedule,"it appears, reliance is the main stock holding the index, while profit booking is happening in many stocks. if reliance breaks down, the index may go down sharply, as there is good resistance around 21700 level."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",T25,schedule8:03 PM Jan 1st,schedule,"reliance is likely to give return 15% for 2024. for multibagger returns, sell reliance and purchase aarti pharmalabs cmp 506 target rs 1200."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule5:10 PM Jan 1st,schedule,"21,800 remains crucial for further upside towards psychological mark"
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",pareek11387,schedule2:04 PM Jan 1st,schedule,long it bro for 2620 level
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",ShubhamJhunjhunuwala,schedule1:13 PM Jan 1st,schedule,"i have purchase 6 lot of ril jan 2600 ce at 70, should i quit or wait."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",s70,schedule1:05 PM Jan 1st,schedule,koi bhi pany stock is se bahetar he nam bade aur darshan khote
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",BangJackpot,schedule12:43 PM Jan 1st,schedule,"positive vibes see in reliance industries, rattanindia power,  innova cabtab, sbfc finance, future consumer."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",dihama,schedule10:54 AM Jan 1st,schedule,mda has no option but to initiate listing/demerger of jiotel and jioretail w/o delay.
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",soniaditya,schedule10:22 AM Jan 1st,schedule,what is sl for reliance 2600 ce bought 2 lots of rs 62.
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",dhonu1,schedule10:18 AM Jan 1st,schedule,see new listed sme stock teident techlabs next multibagger
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule8:06 AM Jan 1st,schedule,"prospects bright for indian stock markets in 2024 despite historically high valuations domestic equities are likely to breach new highs in 2024, with the nifty predicted to touch 23,500-25points, according to a majority of the 30 stock market participants polled by economic times. while 25 percent of them said nifty would touch 23,500-24,000 in 2024, 32 percent are even more optimistic, projecting that it will cross 24,000-25,000 points. why it%u2019s important: although there are concerns that the markets may be overheated, most money managers are not expecting a change in the upward trend. there could be some volatility though."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule8:02 AM Jan 1st,schedule,"about a fourth of respondents (23 percent) said they believe the nifty will surpass the 25,000 mark during the year, taking the yearly returns to more than 15 percent."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule8:01 AM Jan 1st,schedule,"in a moneycontrol%u2019s markets poll, where we asked 35 analysts and fund managers, nearly half of them said they see nifty in the range of 23,000 to 25,000 by the end of 2024. that means a potential return in the range of 6 to 15 percent"
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule8:00 AM Jan 1st,schedule,"mc markets poll: 2024 to be another year of bulls, largecap stocks to rally"
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule7:14 PM Dec 31st,schedule,"the nifty put call ratio (pcr), which indicates the mood of the equity market, fell further to 1.12 on december 29, from 1.30 levels in the previous session. the above 1 pcr indicates that the traders are buying more puts options than calls, which generally indicates an increase in bearish sentiment."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule6:14 PM Dec 31st,schedule,"reliance industries continued to retain the title of the most valued firm, followed by tcs, hdfc bank, icici bank, infosys, hindustan unilever, bharti airtel, itc, state bank of india and lic."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule6:09 PM Dec 31st,schedule,"the market capitalisation (mcap) of reliance industries zoomed rs 13,633.07 crore to reach rs 17,48,827.92 crore"
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule6:01 PM Dec 31st,schedule,"market to take cues from fomc minutes, pmi numbers next week"
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule6:00 PM Dec 31st,schedule,the next week is likely to be eventful as series of economic data globally are set to release.
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule6:00 PM Dec 31st,schedule,"dalal street week ahead | pmi numbers, fomc minutes, auto sales among key factors to watch"
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",bnssahu,schedule2:41 PM Dec 31st,schedule,ril :::book profit below 5 dema no if
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",TheTechnicalAnalyst,schedule6:22 PM Dec 30th,schedule,the a-z of stock markets: a 2023 guide from
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule5:44 PM Dec 30th,schedule,"sensex, meanwhile, has seen four positive januarys %u2013 2015, 2017, 2018 and 2019."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule5:43 PM Dec 30th,schedule,"data shows nifty 50 has seen just three positive years in the last 10 years %u2013 2015, 2017 and 2018 %u2013 gaining in the range of 4-7 percent. in other years, it fell the most in 2014 when it slipped over 3 percent in january."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule5:42 PM Dec 30th,schedule,january has mostly been cold to investors in past 10 years. can we see a change in 2024?
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule5:21 PM Dec 30th,schedule,"while 2023 was remarkable for the markets, with the bulls in cruise control, caution is advised for the upcoming sessions. elevated levels, overbought indicators, and deviation from key averages signal a need for prudence. traders are recommended to maintain a bullish outlook but adopt a cautious stance, booking profits at higher levels and viewing market dips as potential buying opportunities."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule5:20 PM Dec 30th,schedule,"the bulls maintained control over the market, concluding the calendar year with a positive note of 20% gains. despite a brief dip, prices consistently moved upward throughout the week, reaching new milestones."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",TheTechnicalAnalyst,schedule1:05 PM Dec 30th,schedule,"mukesh ambani adds $10 billion to his net worth, leads indians adding wealth in"
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule10:17 AM Dec 30th,schedule,"during the week, foreign institutional investors (fiis) bough equities worth of rs 8,648.96 crore, while domestic institutional investors (diis) also bought equities worth rs crore."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule10:17 AM Dec 30th,schedule,market hits new milestones ends 2023 with handsome gains
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule10:05 AM Dec 30th,schedule,"his wealth, which primarily comes from reliance industries and jio financial services, increased due to a 9 percent gain in ril stock and the listing of jio financial stock after a demerger."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule10:03 AM Dec 30th,schedule,"ambani is also the richest indian and the 13th richest person in the world, with total wealth at $97.1 billion."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule10:01 AM Dec 30th,schedule,"mukesh ambani adds $10 billion to his net worth, leads indians adding wealth in 2023"
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",lotuseaters,schedule8:48 AM Dec 30th,schedule,another great good news from reliance is that they achieved in pyrolysis oil production from the plastic waste. this pyrolysis oil can be used as fuel like petrol. we can expect some incentive from the present government. we can expect the another announcment of reliance retail in the upcoming general body meeting.
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",therealthirdeye2015,schedule10:55 PM Dec 29th,schedule,"now year end and today i only do home work for reliance and estiamated the target of 2024, so i share to all my own research targets. keep follow because in the two days holidays i wish to cover total 50 shares with targets. i give three targets of each share for a year. the reliance three targets is 2850, 2980 and 3080. so no need to worry and used the opportunity to add at rs 2540 and below."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule5:33 PM Dec 29th,schedule,"large-cap stocks in india are set to outshine their smaller peers this month, halting their record run of monthly underperformance. strong buying from global funds, relatively inexpensive valuations compared to small-cap stocks and receding political risk after prime minister narendra modi%u2019s victory in key state polls have stoked investor appetite for the biggest and most liquid firms. the nifty50 index climbed about 8 percent in december, its best month since july 2022, compared with the 6.4 percent gain for nse%u2019s small-cap gauge. to be sure, the nifty smallcap 100 index is still up more than 50 percent for the year, more than double the benchmark gauge%u2019s year-to-date return."
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule5:33 PM Dec 29th,schedule,nifty move may be uncertain in near term after recent run up
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule5:32 PM Dec 29th,schedule,"the options data indicated that the nifty 50 is likely to face resistance at the 21,800-22,000 zone in the coming days, with support at the 21,700-21,500 levels"
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule5:32 PM Dec 29th,schedule,"trend may be uncertain with doji formation in near-term, but 22,000 likely in jan"
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",ramila,schedule3:00 PM Dec 29th,schedule,"Both hdfc and RIL not performed long time., if help this time , add and focus IT STOCKS. show"
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",ramila,schedule2:57 PM Dec 29th,schedule,"If hdfc and RIL help, nifty bounce back. Else nifty fall. Show"
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",srinj4567,schedule2:17 PM Dec 29th,schedule,In April first phase of solar panels completes. They will get consumed internally. With that Reliance joins the league of green energy equipment manufacturers.
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",srinivasksr,schedule1:58 PM Dec 29th,schedule,Buy this gem and it will reach 3000 by March 2024. Keep buy in dips or chip
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",callputmaster,schedule1:55 PM Dec 29th,schedule,"Reliance being frontline stock highly impacts major indices. Use Reliance strategy to trade in nifty, sensex"
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kingofstock_25,schedule1:02 PM Dec 29th,schedule,Only because of reliance market was down..
https://mmb.moneycontrol.com//forum-topics/stocks/reliance-322.html,"reliance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More",kamal20,schedule12:25 PM Dec 29th,schedule,All in a year: Equity market investors turn richer by Rs 80.62 lakh crore in 2023
